epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.6018,0.40138,0.97196,1,0.09011,0.000474854,0.000474854,0.000474854
2,35.9969,0.12426,0.96677,1,0.07477,0.000932354,0.000932354,0.000932354
3,51.3935,0.11834,0.98442,1,0.04854,0.00137099,0.00137099,0.00137099
4,63.515,0.10543,0.98858,1,0.03725,0.00134412,0.00134412,0.00134412
5,75.3667,0.0789,0.99169,1,0.02891,0.00131582,0.00131582,0.00131582
6,91.1078,0.05696,0.99273,1,0.02271,0.00128753,0.00128753,0.00128753
7,103.32,0.04507,0.99481,1,0.01999,0.00125923,0.00125923,0.00125923
8,119,0.06531,0.98858,1,0.02712,0.00123094,0.00123094,0.00123094
9,131.386,0.03795,0.99585,1,0.01422,0.00120265,0.00120265,0.00120265
10,144.195,0.02648,0.99169,1,0.0214,0.00117435,0.00117435,0.00117435
11,160.576,0.05281,0.99273,1,0.01916,0.00114606,0.00114606,0.00114606
12,173.722,0.02622,0.99481,1,0.01432,0.00111776,0.00111776,0.00111776
13,190.804,0.03205,0.99792,1,0.01585,0.00108947,0.00108947,0.00108947
14,204.499,0.03003,0.99377,1,0.01734,0.00106118,0.00106118,0.00106118
15,217.494,0.02073,0.99481,1,0.01276,0.00103288,0.00103288,0.00103288
16,234.316,0.01651,0.99481,1,0.02879,0.00100459,0.00100459,0.00100459
17,247.615,0.01649,0.99688,1,0.02388,0.000976293,0.000976293,0.000976293
18,264.416,0.01712,0.99481,1,0.01699,0.000947999,0.000947999,0.000947999
19,277.966,0.02376,0.99377,1,0.01484,0.000919704,0.000919704,0.000919704
20,293.851,0.01842,0.99481,1,0.01748,0.00089141,0.00089141,0.00089141
21,307.632,0.01541,0.99481,1,0.01772,0.000863116,0.000863116,0.000863116
22,321.063,0.01369,0.99688,1,0.01982,0.000834822,0.000834822,0.000834822
23,337.617,0.00845,0.99688,1,0.01538,0.000806528,0.000806528,0.000806528
24,351.032,0.00926,0.99792,1,0.01049,0.000778233,0.000778233,0.000778233
25,367.982,0.01053,0.99792,1,0.01143,0.000749939,0.000749939,0.000749939
26,381.004,0.01027,0.99896,1,0.00901,0.000721645,0.000721645,0.000721645
27,397.692,0.01352,0.99792,1,0.01036,0.000693351,0.000693351,0.000693351
28,410.742,0.01099,0.99896,1,0.0138,0.000665057,0.000665057,0.000665057
29,424.547,0.01006,0.99688,1,0.01549,0.000636762,0.000636762,0.000636762
30,441.26,0.01099,0.99585,1,0.02216,0.000608468,0.000608468,0.000608468
31,454.305,0.0111,0.99688,1,0.01333,0.000580174,0.000580174,0.000580174
32,471.077,0.01277,0.99585,1,0.01331,0.00055188,0.00055188,0.00055188
33,484.506,0.00655,0.99688,1,0.01575,0.000523586,0.000523586,0.000523586
34,497.722,0.0079,0.99377,1,0.01961,0.000495291,0.000495291,0.000495291
35,514.399,0.0073,0.99585,1,0.01774,0.000466997,0.000466997,0.000466997
36,527.486,0.009,0.99792,1,0.01696,0.000438703,0.000438703,0.000438703
37,544.605,0.00718,0.99792,1,0.01335,0.000410409,0.000410409,0.000410409
38,557.874,0.00403,0.99688,1,0.00952,0.000382115,0.000382115,0.000382115
39,574.364,0.00472,0.99688,1,0.01228,0.00035382,0.00035382,0.00035382
40,587.963,0.00454,0.99896,1,0.01311,0.000325526,0.000325526,0.000325526
41,602.216,0.00486,0.99688,1,0.00919,0.000297232,0.000297232,0.000297232
42,618.56,0.00407,0.99688,1,0.01045,0.000268938,0.000268938,0.000268938
43,631.909,0.00409,0.99688,1,0.00961,0.000240644,0.000240644,0.000240644
44,648.669,0.00355,0.99688,1,0.00908,0.000212349,0.000212349,0.000212349
45,664.468,0.00436,0.99688,1,0.00929,0.000184055,0.000184055,0.000184055
46,681.3,0.00384,0.99688,1,0.0066,0.000155761,0.000155761,0.000155761
47,696.98,0.00383,0.99792,1,0.00557,0.000127467,0.000127467,0.000127467
48,716.273,0.00252,0.99896,1,0.00677,9.91726e-05,9.91726e-05,9.91726e-05
49,731.96,0.00243,0.99896,1,0.00544,7.08784e-05,7.08784e-05,7.08784e-05
50,747.321,0.00462,0.99896,1,0.00603,4.25842e-05,4.25842e-05,4.25842e-05
