scorer,,,munneth,munneth,munneth,munneth,munneth,munneth,munneth,munneth,munneth,munneth,munneth,munneth
bodyparts,,,spine1,spine1,spine2,spine2,spine3,spine3,tail1,tail1,tail2,tail2,tail3,tail3
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,IMG_8437,IMG_8423.png,128.06237133635457,160.8203197634918,183.35955612173953,154.1846575892456,233.49567032715524,168.19327773487646,274.78423496690925,209.48184237463056,313.12361641810946,188.10026425761504,344.09003989792507,168.93057353201493
labeled-data,IMG_8437,Screenshot_1.png,131.9741075932865,286.86736539992324,116.12751398494325,287.378545838902,104.1999704087709,294.0238915456266,95.33950946647144,301.86199160996847,86.47904852417199,296.2390067812015,78.47055498017055,288.23051323720006
labeled-data,IMG_8437,Screenshot_10.png,230.03322199446183,172.01950434868968,273.6928976427905,179.79451508058384,311.37179580504676,210.89455800816043,326.3237395202278,235.41574570105735,358.02186019641164,222.25803523169805,393.30844736423893,199.53108078462282
labeled-data,IMG_8437,Screenshot_11.png,439.36043400699657,262.9273221369905,496.17782012468456,266.51578862863397,548.8086620021219,302.99853129367574,578.712549432484,349.0505179364334,630.7453135613141,332.3043409754306,681.5819221929297,308.9793087797481
labeled-data,IMG_8437,Screenshot_12.png,150.89701019570677,129.5900134422802,204.71960338681478,134.75108402224944,243.05898483801502,173.09046547344965,260.01678817219977,196.6839309818806,294.6696906377077,185.6244940248036,327.84800150893864,168.66669069061885
labeled-data,IMG_8437,Screenshot_13.png,258.86503353016303,320.90384371684195,298.76893014390157,329.20385421249955,315.3689511352169,351.2308051432832,323.34973045796454,367.51159496168856,354.9536165760455,366.8731326158687,381.7690351004778,359.53081563894085
labeled-data,IMG_8437,Screenshot_14.png,262.0573452592621,271.742243088716,300.68431718136105,278.1268665469142,323.9881928037844,303.98459155261673,335.799746201451,323.4576931001212,361.33824003424365,323.7769242730311,384.3228844837571,320.58461254393205
labeled-data,IMG_8437,Screenshot_15.png,399.1318055923176,160.96804924735906,449.8985315172233,167.65823793513732,484.92363700029773,203.8639649513491,499.48463590899155,231.80534123559949,526.2453906601046,217.6378828379514,541.1999300798443,206.61874852866956
labeled-data,IMG_8437,Screenshot_16.png,272.41176103557643,146.4070503386652,319.63662236107007,156.2455631148097,345.61029609009154,186.54818246533478,356.2358898883276,208.58645108389845,392.0480763934936,204.25750546239487,423.13777676611016,189.696506553701
labeled-data,IMG_8437,Screenshot_2.png,156.3470603238129,178.35074805460692,114.13925122246741,170.58839235780775,81.1492395110709,183.68736759615635,60.77305580697305,204.54869853130415,42.33746102707502,192.4200177550554,22.931571785077097,173.49927574410742
labeled-data,IMG_8437,Screenshot_3.png,175.7529495658108,260.3406301020482,158.7727964790626,257.91489394679843,143.7332323165142,262.281219026248,130.14910984711565,270.52872195409714,123.84219584346636,261.3109245641481,118.02042907086695,251.12283271209915
labeled-data,IMG_8437,Screenshot_4.png,309.95949695937446,202.53968035116839,356.5336311401695,194.29217742331926,404.56320701411437,217.09409728266684,436.582924263411,259.7870536150623,480.7313222889563,247.17322560776364,513.7213340003527,229.7079252899655
labeled-data,IMG_8437,Screenshot_5.png,288.6130187931767,229.22277805891557,335.6723002050217,215.638655589517,388.0682011584161,243.77719499041402,412.3255627109136,274.82661777761075,449.1967522707096,262.21278977031204,490.4342669099553,247.6583728388136
labeled-data,IMG_8437,Screenshot_6.png,534.1376216325897,758.506775120885,486.29140174401044,750.7317643889908,443.82788159289623,768.6740968472081,417.5124606541776,785.4202738082108,389.40280646963714,766.2817858527792,368.4700852683837,742.3586759084894
labeled-data,IMG_8437,Screenshot_7.png,688.4985256031756,730.6738152573337,624.3537912521291,696.0209127918256,575.6922686409903,708.5549413431793,544.7258451611748,715.9278993145638,514.4967174784977,684.9614758347481,499.75080153572827,645.8847985864093
labeled-data,IMG_8437,Screenshot_8.png,526.2934502327131,653.2577565577941,518.18319646419,623.7659246722554,511.54753428994377,609.0200087294861,510.8102384928053,592.0622053953014,517.4459006670515,570.6806272782858,519.6577880584668,546.3498659727165
labeled-data,IMG_8437,Screenshot_9.png,496.06432255003597,525.7055836528393,348.60516312234273,505.7985971301001,254.23130108861906,533.0785416242229,184.92549615760325,606.0708255409307,150.27259369209534,568.4687398868689,82.44138035535646,494.0018643758835
labeled-data,IMG_8437,image 1.png,139.52662810030978,231.33823975357745,121.55811280530867,234.5172847673084,114.92358408100056,242.81044567269356,108.84193275038479,246.95702612538614,100.41055249657657,241.29003284003963,94.05246246911463,233.41152997992376
