epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.6026,0.40138,0.97196,1,0.09011,0.000474854,0.000474854,0.000474854
2,43.61,0.12426,0.96677,1,0.07477,0.000932354,0.000932354,0.000932354
3,55.0971,0.11834,0.98442,1,0.04854,0.00137099,0.00137099,0.00137099
4,69.3832,0.10543,0.98858,1,0.03725,0.00134412,0.00134412,0.00134412
5,81.2561,0.0789,0.99169,1,0.02891,0.00131582,0.00131582,0.00131582
6,93.4561,0.05696,0.99273,1,0.02271,0.00128753,0.00128753,0.00128753
7,107.521,0.04507,0.99481,1,0.01999,0.00125923,0.00125923,0.00125923
8,119.331,0.06531,0.98858,1,0.02712,0.00123094,0.00123094,0.00123094
9,131.112,0.03795,0.99585,1,0.01422,0.00120265,0.00120265,0.00120265
10,146.17,0.02648,0.99169,1,0.0214,0.00117435,0.00117435,0.00117435
11,161.581,0.05281,0.99273,1,0.01916,0.00114606,0.00114606,0.00114606
12,181.155,0.02622,0.99481,1,0.01432,0.00111776,0.00111776,0.00111776
13,198.174,0.03205,0.99792,1,0.01585,0.00108947,0.00108947,0.00108947
14,217.82,0.03003,0.99377,1,0.01734,0.00106118,0.00106118,0.00106118
15,234.705,0.02073,0.99481,1,0.01276,0.00103288,0.00103288,0.00103288
16,253.92,0.01651,0.99481,1,0.02879,0.00100459,0.00100459,0.00100459
17,270.592,0.01649,0.99688,1,0.02388,0.000976293,0.000976293,0.000976293
18,287.58,0.01712,0.99481,1,0.01699,0.000947999,0.000947999,0.000947999
19,300.11,0.02376,0.99377,1,0.01484,0.000919704,0.000919704,0.000919704
20,315.22,0.01842,0.99481,1,0.01748,0.00089141,0.00089141,0.00089141
21,326.759,0.01541,0.99481,1,0.01772,0.000863116,0.000863116,0.000863116
22,339.139,0.01369,0.99688,1,0.01982,0.000834822,0.000834822,0.000834822
23,355.48,0.00845,0.99688,1,0.01538,0.000806528,0.000806528,0.000806528
24,370.971,0.00926,0.99792,1,0.01049,0.000778233,0.000778233,0.000778233
25,390.785,0.01053,0.99792,1,0.01143,0.000749939,0.000749939,0.000749939
26,407.004,0.01027,0.99896,1,0.00901,0.000721645,0.000721645,0.000721645
27,426.816,0.01352,0.99792,1,0.01036,0.000693351,0.000693351,0.000693351
28,443.52,0.01099,0.99896,1,0.0138,0.000665057,0.000665057,0.000665057
29,462.604,0.01006,0.99688,1,0.01549,0.000636762,0.000636762,0.000636762
30,479.416,0.01099,0.99585,1,0.02216,0.000608468,0.000608468,0.000608468
31,498.533,0.0111,0.99688,1,0.01333,0.000580174,0.000580174,0.000580174
32,515.365,0.01277,0.99585,1,0.01331,0.00055188,0.00055188,0.00055188
33,533.69,0.00655,0.99688,1,0.01575,0.000523586,0.000523586,0.000523586
34,546.644,0.0079,0.99377,1,0.01961,0.000495291,0.000495291,0.000495291
35,561.55,0.0073,0.99585,1,0.01774,0.000466997,0.000466997,0.000466997
36,573.619,0.009,0.99792,1,0.01696,0.000438703,0.000438703,0.000438703
37,587.123,0.00718,0.99792,1,0.01335,0.000410409,0.000410409,0.000410409
38,605.718,0.00403,0.99688,1,0.00952,0.000382115,0.000382115,0.000382115
39,621.921,0.00472,0.99688,1,0.01228,0.00035382,0.00035382,0.00035382
40,644.818,0.00454,0.99896,1,0.01311,0.000325526,0.000325526,0.000325526
41,667.312,0.00486,0.99688,1,0.00919,0.000297232,0.000297232,0.000297232
42,684.828,0.00407,0.99688,1,0.01045,0.000268938,0.000268938,0.000268938
43,704.386,0.00409,0.99688,1,0.00961,0.000240644,0.000240644,0.000240644
44,720.892,0.00355,0.99688,1,0.00908,0.000212349,0.000212349,0.000212349
45,740.985,0.00436,0.99688,1,0.00929,0.000184055,0.000184055,0.000184055
46,755.273,0.00384,0.99688,1,0.0066,0.000155761,0.000155761,0.000155761
47,770.583,0.00383,0.99792,1,0.00557,0.000127467,0.000127467,0.000127467
48,782.707,0.00252,0.99896,1,0.00677,9.91726e-05,9.91726e-05,9.91726e-05
49,795.417,0.00243,0.99896,1,0.00544,7.08784e-05,7.08784e-05,7.08784e-05
50,813.221,0.00462,0.99896,1,0.00603,4.25842e-05,4.25842e-05,4.25842e-05
